Rank,School,Name,Adjusted Rating,Deviation,Matches,Rating,Hash,Aff Win Rate,Neg Win Rate,Aff Elim Win Rate,Neg Elim Win Rate
58,Emory,Hight & Tharp,1252.3930897334092,140.09755605037904,8,1532.5882018341672,6db106291d60ba6518c0d3294db6c5808d2bdbf7a96b202543cda2a845e46f9d,50.0,50.0,,
59,North Texas,Bowman & Vargas,1240.712955632371,145.29512444522945,8,1531.30320452283,f10df5280cda97778a4d247f7de57b1396f957fca3b37438509687478f3ef9f0,75.0,25.0,,
60,Michigan,Laskar & Sivasubramanian,1239.1659719102176,142.84762626532626,8,1524.8612244408703,1147eff835c7d8bac67d4511bd93d550d52a404a60440da28079d5ab36eb9fe4,75.0,25.0,,
61,Kentucky,Coale & Slish,1239.1641870602177,141.39646182633632,8,1521.9571107128904,b8bb8bcccb3e702e5c5615cbd3e83dee425d7941cfa29e051a98173fc95af5ec,25.0,75.0,,
62,Kansas,Chaudhry & Chidambaranathan,1238.579914805492,142.40772599841176,8,1523.3953668023157,72afd29e84874fd6bb180ae7f38cc804e3e31cb5eef158865a800d14d83d0dc5,100.0,0.0,,
63,Wake Forest,Dingley & McDonald,1232.1052802703894,140.60861679433168,8,1513.3225138590526,47567dc756b969441eeb4341482296837f6f837d847dcbefcde0cad68fe826a1,25.0,75.0,,
64,Emory,Tahirkheli & Yang,1231.8541546293986,144.055638899141,8,1519.9654324276808,664457a8e3abfaeb8f3147b1c1c462e9b9dd69999c2440062837a2ff243b205a,25.0,75.0,,
65,Western Kentucky,Kumar & Ney,1231.3553790833805,143.13322986266155,8,1517.6218388087036,686cf02f82ed2b96cacb723f2eb9f75f92dd197137c572aa54c7cbf425eaf444,75.0,25.0,,
66,Georgetown,Barbiere & Perez-Rubio,1230.539004081378,144.24319681149964,8,1519.0253977043772,faafeb96d5709dbf81a89a30012af992e26ef04726e9dd8aa8a9f5b5d1bb9082,25.0,75.0,,
67,Kansas,Bath & Boyle,1227.34722940395,142.4078036384236,8,1512.1628366807972,c283d4fecd9b2c14f3056238b400e5be51e968eb92eed48e086d85cf20b778ba,75.0,25.0,,
68,UC Berkeley,Antony & Wilson,1226.8354841388145,139.51251818025338,8,1505.8605204993212,814734f7e5b47b280c7b3b16e5632e5f75ae5147e79554d7f91c3151ef3261a4,50.0,50.0,,
